namespace,key,en,original_zh,current_zh,reason,reason_en
base,page.baseTitle.fallback,Base Page v2,基地页面 v2,基地页面v2,多余空格修复：中文与拉丁文/数字之间不加空格,Spacing fix: no space between Chinese and Latin/digits
base,page.warnings.basePermits,Base permits:,基地许可：,基地许可证：,翻译优化,Translation improvement
base,preview.stats.feeSavings.title,Fee Negotiation savings,Fee Negotiation节省,Fee Negotiation 节省,中英混杂修正,Mixed CN-EN fix
base,preview.stats.goi,Global overhead impact / d,全局Overhead影响 / d,全局开销影响/天,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,preview.stats.goiDelta,Δ Global overhead / d,Δ全局Overhead / d,Δ全局开销/天,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,preview.warehouse.perkTooltip,Smart Stacking perk bonus,Smart Stacking Perk加成,Smart Stacking专长加成,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
base,preview.construction.copyTooltip.copy,Copy as chat text (e.g. 3x :CopperBar),复制为聊天文本（例如 3x :CopperBar）,复制为聊天文本（例如3x :CopperBar）,多余空格修复：中文与拉丁文/数字之间不加空格,Spacing fix: no space between Chinese and Latin/digits
base,scenario.sections.perks,Prestige Perks,Prestige Perk,声望专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
base,scenario.sections.basePermits,Base Permits,基地许可,基地许可证,翻译优化,Translation improvement
base,scenario.summary.category.perks,Perks,Perk,专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
base,scenario.summary.category.basePermits,Base permits,基地许可,基地许可证,翻译优化,Translation improvement
base,scenario.overhead.math.excessBurden,Excess burden,超额Burden,超额负担,Burden→负担：游戏机制名翻译为中文,Burden→负担: game mechanic translated to Chinese
base,scenario.overhead.math.baseOverhead,Base overhead,基础Overhead,基础开销,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,scenario.overhead.math.overheadPenalty,Overhead penalty,Overhead惩罚,开销惩罚,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,scenario.overhead.adminCenter.expansionOverhead,-{{reduction}}%/{{max}}% expansion overhead,-{{reduction}}%/{{max}}%扩建Overhead,-{{reduction}}%/{{max}}%扩建开销,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
base,scenario.perks.exclusiveFallback,Exclusive Perk,专属Perk,互斥专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
base,scenario.permits.name,Additional unused base permits,额外未使用的基地许可,额外未使用的基地许可证,翻译优化,Translation improvement
base,scenario.permits.subtitle,Drives the {{perk}} per-permit production speed bonus.,决定{{perk}}的每份许可生产速度加成。,决定{{perk}}的每份许可证生产速度加成。,翻译优化,Translation improvement
base,scenario.workforce.burden,×{{value}} burden,×{{value}} Burden,×{{value}} 负担,Burden→负担,Burden→负担
base,warehouse.columns.produced,Prod/d,产出/d,每日产出,翻译优化,Translation improvement
base,warehouse.columns.consumed,Cons/d,消耗/d,每日消耗,翻译优化,Translation improvement
base,warehouse.columns.net,Net/d,净/d,每日净额,单个净字在中文中表示干净的意思居多，换成净额使其含义更明确,Standalone 净 often means clean in Chinese; 净额 makes the financial meaning clearer
galaxy,intel.tooltip.scope.prestigePerks,Company (Prestige Perks),公司（Prestige Perks）,公司（声望专长）,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
galaxy,intel.production.columns.net,Net,净,净额,单个净字在中文中表示干净的意思居多，换成净额使其含义更明确,Standalone 净 often means clean in Chinese; 净额 makes the financial meaning clearer
galaxy,intel.production.columns.valuePerDay,Value/day,价值/天,每日价值,翻译优化,Translation improvement
galaxy,landing.scopes.prestigePerks,Prestige Perks,Prestige Perks,声望专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
galaxy,planetDetails.info.tier,Tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
galaxy,table.column.tier,Tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
galaxy,lens.option.planetTier,Planet Tier,行星Tier,行星等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
galaxy,search.placeholder,Planet or system…,行星或星系…,行星或星系…,翻译优化,Translation improvement
guild,page.projectBonus.capacity,{{value}} tons,{{value}} 吨,{{value}}吨,翻译优化,Translation improvement
guild,page.info.rank,Rank,排名,职级,公会角色上下文(领袖/管理员/成员)，应为职级非排名,Guild role context (Leader/Officer/Member)
guild,page.info.prestige,Prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,page.memberPlanets.memberTable.tierSub,tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
guild,page.memberPlanets.memberTable.prestige,Prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,page.memberPlanets.planetTable.tier,Tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
guild,page.memberPlanets.planetTable.prestigeSub,prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,page.sections.prestigeTrend,Prestige Trend from Donations,捐赠带来的Prestige趋势,捐赠带来的声望趋势,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,donationTargets.guide.axisPrestigePer1k,Prestige / $1k,Prestige / $1k,声望/$1k,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,donationTargets.guide.columns.now,Now,当前,现在,翻译优化,Translation improvement
guild,donationTargets.guide.columns.prestigePer1k,Prestige/$1k,Prestige/$1k,声望/$1k,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,donationLeaderboard.projects.hq,HQ,HQ,总部,公会项目翻译,Guild project translated
guild,donationLeaderboard.projects.admin,Admin,Admin,行政,公会项目翻译,Guild project translated
guild,donationLeaderboard.projects.warehouse,Warehouse,Warehouse,仓库,公会项目翻译,Guild project translated
guild,donationLeaderboard.projects.arcade,Arcade,Arcade,娱乐中心,公会项目翻译,Guild project translated
guild,donationLeaderboard.columns.prestige,Prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,recentDonations.columns.prestige,Prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,adminRoi.title,Admin Center ROI,Admin Center ROI,行政中心ROI,翻译优化,Translation improvement
guild,adminRoi.coverage.overheadOnly,({{count}} overhead-only),（{{count}}名仅有Overhead数据）,（{{count}}名仅有开销数据）,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
guild,adminRoi.mode.saturatedTitle,Counterfactual: model every member as fully expanding to use the new admin-center headroom. Shows the marginal overhead-tax savings the upgraded admin center provides on that expanded workforce (workforce-growth cost is excluded. That's the member's call vs. their production gain).,反事实假设：将每位成员都视为完全扩张以用满新的Admin Center余量。显示升级后的Admin Center在扩张后的劳动力上带来的边际Overhead税节省（不计入劳动力增长的成本，那需由成员自行权衡其生产收益）。,反事实假设：将每位成员都视为完全扩张以用满新的行政中心余量。显示升级后的行政中心在扩张后的劳动力上带来的边际开销税节省（不计入劳动力增长的成本，那需由成员自行权衡其生产收益）。,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
guild,adminRoi.mode.saturatedNote,Counterfactual: assumes every member expands to use the new admin-center headroom. Shows the marginal overhead-tax savings the upgraded admin center provides on that larger workforce. The cost of growing the workforce itself is excluded. That's the member's call vs. the production it unlocks.,反事实假设：假定每位成员都扩张以用满新的Admin Center余量。显示升级后的Admin Center在更大规模劳动力上带来的边际Overhead税节省。劳动力增长本身的成本不计入其中，那需由成员自行权衡其解锁的产能。,反事实假设：假定每位成员都扩张以用满新的行政中心余量。显示升级后的行政中心在更大规模劳动力上带来的边际开销税节省。劳动力增长本身的成本不计入其中，那需由成员自行权衡其解锁的产能。,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
guild,adminRoi.debug.penaltyPercent,Penalty %,惩罚 %,惩罚%,翻译优化,Translation improvement
guild,adminRoi.debug.currentNetPercent,Current net %,当前净 %,当前净额%,翻译优化,Translation improvement
guild,adminRoi.debug.headroomPercent,Headroom %,余量 %,余量%,翻译优化,Translation improvement
guild,adminRoi.debug.headroomTitle,Penalty room before paying overhead tax at the API admin level. Negative = already paying tax on the excess penalty.,在API的Admin Center等级下，开始缴纳Overhead税之前的惩罚余量。负值 = 已在为超出的惩罚缴税。,在API的行政中心等级下，开始缴纳开销税之前的惩罚余量。负值 = 已在为超出的惩罚缴税。,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
guild,adminRoi.debug.liveConsumablesPerDay,Live consumables / day,实时消耗品 / 天,每日实时消耗品,翻译优化,Translation improvement
guild,adminRoi.debug.savingsPlusOnePerDay,Savings @ +1 / day,节省 @ +1 / 天,节省 @ +1/天,斜杠空格移除,Slash space removal
guild,adminRoi.states.maxLevel,Admin Center is already at max level.,Admin Center已达到最高等级。,行政中心已达到最高等级。,翻译优化,Translation improvement
guild,adminRoi.states.noBuff,Admin Center has no per-level buff configured.,Admin Center未配置每级加成。,行政中心未配置每级加成。,翻译优化,Translation improvement
guild,adminRoi.table.savingsPerDay,Savings / day,节省 / 天,每日节省,翻译优化,Translation improvement
guild,adminRoi.table.upkeepDeltaPerDay,Upkeep Δ / day,维护费 Δ / 天,每日维护费Δ,斜杠空格移除,Slash space removal
guild,adminRoi.table.netProfitPerDay,Net profit / day,净利润 / 天,每日净利润,翻译优化,Translation improvement
guild,prestigeTrend.empty.noDonations,No prestige donations recorded during the selected window.,所选时间范围内无Prestige捐赠记录。,所选时间范围内无声望捐赠记录。,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,prestigeTrend.tooltip.noChange,No prestige change,Prestige无变化,声望无变化,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
guild,chains.edgeTree.contractTable.unitsHeader,#/d,#/d,#/天,单位统一,Unit normalization
guild,chains.edgeTree.contractTable.creditsHeader,cr/d,cr/d,cr/天,单位统一,Unit normalization
guild,chains.edgeTree.produceCard.description,Run the recipe yourself and ship to the chain at the burden-based rate.,自行运行配方，并按基于Burden的费率向生产链供货。,自行运行配方，并按基于负担的费率向生产链供货。,Burden→负担：游戏机制名翻译为中文,Burden→负担: game mechanic translated to Chinese
guild,chains.edgeTree.produceCard.shippingTitle,Per-ton shipping reimbursement on top of the burden-based pay.,在基于Burden的报酬之外，按吨补偿的运输费。,在基于负担的报酬之外，按吨补偿的运输费。,Burden→负担：游戏机制名翻译为中文,Burden→负担: game mechanic translated to Chinese
guild,chains.deliveries.marketSellTitle,"No counterparty in the chain, you buy this from / sell it to the open market. Nothing to link or mark.",生产链中没有交易对手，此项从公开市场买入 / 卖出。无需关联或标记。,生产链中没有交易对手，此项从公开市场买入/卖出。无需关联或标记。,斜杠空格移除,Slash space removal
guild,chains.deliveries.marketBuySell,Market buy / sell,市场买入 / 卖出,市场买入/卖出,斜杠空格移除,Slash space removal
guild,chains.deliveries.noMatchingContracts,"No matching in-game contracts found. Create one with this partner for this material, then check again.",未找到匹配的游戏内合同。请先与该伙伴为此材料创建一份合同，然后重新检查。,未找到匹配的游戏内合同。请先与该交易对象为此材料创建一份合同，然后重新检查。,翻译优化,Translation improvement
guild,chains.inspector.refreshTitle,"Re-sync Admin Center, credit settings, and every signup's research/perks/burden from current game data",根据当前游戏数据重新同步Admin Center、积分设置以及每个报名的研究/Perk/Burden,根据当前游戏数据重新同步行政中心、积分设置以及每个报名的研究/专长/负担,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
guild,chains.inspector.stored.rate,Rate (profit/h/100 burden),费率（利润/h/100 Burden）,费率（利润/小时/100负担）,Burden→负担,Burden→负担
guild,chains.inspector.stored.adminCenter,Admin Center,Admin Center,行政中心,翻译优化,Translation improvement
guild,chains.inspector.perDay,{{value}} /d,{{value}} /d,{{value}} /天,单位统一,Unit normalization
guild,chains.inspector.burden,burden {{value}},Burden {{value}},负担 {{value}},Burden→负担,Burden→负担
guild,chains.inspector.perksLabel,perks: ,Perk：,专长：,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
guild,chains.archive.rateLine,{{rate}} /d · {{name}},{{rate}} /d · {{name}},{{rate}} /天 · {{name}},单位统一,Unit normalization
guild,chains.list.perDaySep,{{value}} /d ·,{{value}} /d ·,{{value}} /天 ·,单位统一,Unit normalization
guild,chains.list.noContracts,No contracts yet. Sign up on a step in an open or active chain and your supply / buy commitments will appear here.,暂无合同。在开放或进行中的生产链的某个步骤上报名后，供应 / 采购承诺将显示在此处。,暂无合同。在开放或进行中的生产链的某个步骤上报名后，供应/采购承诺将显示在此处。,斜杠空格移除,Slash space removal
guild,chains.list.perDay,{{value}} /d,{{value}} /d,{{value}} /天,单位统一,Unit normalization
guild,chains.manifest.perHour,{{value}} /h,{{value}} /h,每小时{{value}},单位统一,Unit normalization
guild,chains.prices.extractBadgeTitle,Extracted / farmed material. Supplier sets the price.,开采 / 种植获得的材料。由供应方定价。,开采/种植获得的材料。由供应方定价。,斜杠空格移除,Slash space removal
guild,chains.pricing.perDay,/d,/d,/天,单位统一,Unit normalization
guild,chains.pricing.marketCurAvg,Market (cur / avg),市场（当前 / 平均）,市场（当前/平均）,斜杠空格移除,Slash space removal
guild,chains.pricing.chainFinal,Chain final / u,链最终价 / u,链最终价/单位,斜杠空格移除,Slash space removal
guild,chains.pricing.chainFinalTitle,"What the chain pays per unit of the target material, blending every step's supplier costs at the current Profit/h/100 burden.",生产链为每单位目标材料支付的价格，按当前的利润/h/100 Burden混合每个步骤的供应方成本。,生产链为每单位目标材料支付的价格，按当前的利润/小时/100负担混合每个步骤的供应方成本。,Burden→负担：游戏机制名翻译为中文,Burden→负担: game mechanic translated to Chinese
guild,chains.pricing.rateLabel,Profit / h / 100 burden,利润 / h / 100 Burden,利润/小时/100负担,Burden→负担,Burden→负担
guild,chains.pricing.rateTitle,The shared guild labor rate. Every step pays its supplier(s) r × (step burden / 100) credits per hour above production cost. Typical values land in the 50-300 range.,公会共享的劳动费率。每个步骤在生产成本之上，每小时向其供应方支付 r × (步骤Burden / 100) 积分。典型值在50-300之间。,公会共享的劳动费率。每个步骤在生产成本之上，每小时向其供应方支付r × (步骤负担 / 100) 积分。典型值在50-300之间。,Burden→负担：游戏机制名翻译为中文,Burden→负担: game mechanic translated to Chinese
guild,chains.pricing.rateUnit,$/h/100b,$/h/100b,$/小时/100b,单位统一,Unit normalization
guild,chains.pricing.rateLabelShort,Profit/h/100b,利润/h/100b,利润/小时/100b,单位统一,Unit normalization
guild,chains.pricing.creditsPerDay,{{value}} cr/d,{{value}} cr/d,{{value}} cr/天,单位统一,Unit normalization
guild,chains.creditAdmin.settingsDescription,"α and β set the per-unit credit rate suppliers earn on chains your guild closes. <extract>extract ×</extract> is the buffer on chain-priced extractor / fertility recipes (Mine, Pump, Farm, …). Changes only affect chains created after the change; existing chains keep their snapshot.",α和β决定供应方在公会关闭的生产链上每单位可获得的积分费率。<extract>开采 ×</extract>是链定价的开采 / 肥沃度类配方（Mine、Pump、Farm等）的缓冲系数。更改仅影响此后创建的生产链；现有生产链保留其快照。,α和β决定供应方在公会关闭的生产链上每单位可获得的积分费率。<extract>开采 ×</extract>是链定价的开采/肥沃度类配方（Mine、Pump、Farm等）的缓冲系数。更改仅影响此后创建的生产链；现有生产链保留其快照。,翻译优化,Translation improvement
guild,chains.creditAdmin.alphaTitle,"Credits per burden-unit of effort, per unit produced.",每生产一单位产品，每单位Burden投入所获得的积分。,每生产一单位产品，每单位负担投入所获得的积分。,Burden→负担：游戏机制名翻译为中文,Burden→负担: game mechanic translated to Chinese
guild,chains.creditAdmin.extractTitle,Multiplier on the burden term of chain-pricing for extractor / fertility recipes.,链定价中开采 / 肥沃度类配方Burden项的倍率。,链定价中开采/肥沃度类配方负担项的倍率。,Burden→负担：游戏机制名翻译为中文,Burden→负担: game mechanic translated to Chinese
guild,chains.creditAdmin.amountPlaceholder,e.g. 25 or -10,例如 25 或 -10,例如25或-10,多余空格修复：中文与拉丁文/数字之间不加空格,Spacing fix: no space between Chinese and Latin/digits
